first,system:index,CID,RASTERVALU,Type,Urban
-0.3721214139675358,0,0,0.1601,3,1
0.8157350598557861,1,0,0.0769,9,0
1.3635842544648258,2,0,0.1499,4,1
-1.8904028429879984,3,0,0.2338,1,1
0.8242592776532495,4,0,0.1629,1,1
-0.9137264288088224,5,0,0.1706,3,1
1.600542010298083,6,0,0.1111,1,1
-1.0148789583299758,7,0,0.1545,1,1
-1.0359679015889112,8,0,0.1066,1,1
3.3515609114459144,9,0,0.1695,1,1
-4.229578674143897,10,0,0.1816,6,1
3.776836773664237,11,0,0.1267,1,1
15.907214831667673,12,0,0.1398,1,1
2.8512876941113583,13,0,0.2097,1,1
3.8988527567339837,14,0,0.1764,1,1
1.782224065493152,15,0,0.1605,1,1
167.49452743144315,16,0,0.1644,1,1
-2.8257433430386163,17,0,0.1268,1,1
-5.618790832920721,18,0,0.1405,4,1
3.072593550414499,19,0,0.1425,1,1
3.1150396598082555,20,0,0.1879,1,1
0.5709543096928889,21,0,0.139,1,1
1.062373561976266,22,0,0.0851,1,1
1.0712397492401595,23,0,0.105,3,1
0.015132750501132275,24,0,0.1342,6,1
8.5241231507449,25,0,0.0849,1,1
2.5585597528142863,26,0,0.1042,1,1
3.6506647596931527,27,0,0.1509,1,1
4.233274761884725,28,0,0.1625,1,1
1.0830797207811278,29,0,0.1609,1,1
1.641252190065806,30,0,0.1595,1,1
3.601824437194859,31,0,0.1564,1,1
1.1876946509976636,32,0,0.1428,1,1
-3.2868049107060853,33,0,0.0968,2,1
59.86957558730486,34,0,0.0774,2,1
-7.007841912857119,35,0,0.1914,1,1
-34.88065839493547,36,0,0.1507,2,1
-0.3678533947489558,37,0,0.0954,2,1
-25.181267082939684,38,0,0.1289,2,1
-3.5989350304839305,39,0,0.0931,2,1
-2.627463145554691,40,0,0.1176,3,1
0.6925363698605262,41,0,0.1052,3,1
-13.542202882889818,42,0,0.1231,3,1
-0.37005801717611153,43,0,0.1256,3,1
-1.2214281485921554,44,0,0.102,2,1
-0.4039924146805155,45,0,0.0756,3,1
0.8349217902786996,46,0,0.1473,3,1
0.6470125705417815,47,0,0.1039,3,1
-8.181432564659305,48,0,0.1316,3,1
-3.403769588811657,49,0,0.1247,6,1
5.715425743008986,50,0,0.1503,3,1
1.3186787530637314,51,0,0.0757,6,1
-1.4116550708288031,52,0,0.1292,6,1
-14.798796093434724,53,0,0.1375,3,1
-4.395188712545689,54,0,0.1254,3,1
-5.150667801961238,55,0,0.1244,3,1
0.2807137130177183,56,0,0.1093,3,1
0.12545109741977878,57,0,0.1381,6,1
-35.1125581796697,58,0,0.1588,3,1
12.254754502273885,59,0,0.1355,3,1
0.015926220702036153,60,0,0.1333,3,1
-0.1697076213480723,61,0,0.0943,6,1
1.0297809768899333,62,0,0.1579,3,1
0.06387931577421276,63,0,0.1179,1,1
1.57715133723058,64,0,0.1417,3,1
78.71515532940727,65,0,0.1009,3,1
-0.3545172176015153,66,0,0.0929,3,1
0.03854426306914631,67,0,0.1279,3,1
0.6467755898397075,68,0,0.159,3,1
-0.48376183224779595,69,0,0.133,3,1
-1.4282021838592318,70,0,0.131,3,1
-48.389967684484915,71,0,0.1616,2,1
-2.483611104325295,72,0,0.134,3,1
1.1664047497406205,73,0,0.1589,1,1
0.3390090571045111,74,0,0.1217,7,0
-4.337559424387047,75,0,0.0657,3,1
-2.2623061004398894,76,0,0.1246,3,1
-0.7778751853602519,77,0,0.1523,3,1
-4.987180025271757,78,0,0.181,2,1
-2.5584309079123355,79,0,0.144,3,1
-3.0868513010302943,80,0,0.0976,2,1
-2.019403611029288,81,0,0.1088,3,1
0.11904795865292256,82,0,0.0779,3,1
-2.1773162039715785,83,0,0.1515,6,1
-0.07540785844418653,84,0,0.1444,1,1
0.3552381731913176,85,0,0.122,3,1
-14.511885965954631,86,0,0.1312,2,1
-1.0618545266645982,87,0,0.0711,1,1
-1.9699925004139063,88,0,0.1297,3,1
4.20632963853645,89,0,0.1413,3,1
0.7564795150197908,90,0,0.1932,1,1
0.793199174179846,91,0,0.1136,3,1
-1.6999844078444173,92,0,0.1715,3,1
-0.37536582870105195,93,0,0.0512,3,1
-1.1176756605428668,94,0,0.1386,6,1
-3.424584234854205,95,0,0.1066,3,1
-4.021548117855244,96,0,0.1386,3,1
5.9558903112785915,97,0,0.1785,3,1
-3.5900648250201352,98,0,0.1641,3,1
3.434230339829566,99,0,0.1855,1,1
-2.002079739274079,100,0,0.1514,3,1
-55.29785133930555,101,0,0.1366,3,1
1.5160048497417165,102,0,0.1181,6,1
-7.664815888235898,103,0,0.1702,4,1
4.436006767214528,104,0,0.138,4,1
-0.8550702436485142,105,0,0.1318,4,1
-6.73425874090167,106,0,0.1714,4,1
-0.582589333252236,107,0,0.1395,4,1
-7.055038294431874,108,0,0.1994,6,1
-0.9100730474570672,109,0,0.1329,4,1
-8.67938643501717,110,0,0.1691,4,1
-0.2875450823591533,111,0,0.1001,4,1
0.04310980250604305,112,0,0.1163,4,1
-1.0583464079732459,113,0,0.1641,4,1
-11.087890673615808,114,0,0.1575,4,1
-3.6366933011651454,115,0,0.142,4,1
-0.9178471670859537,116,0,0.1385,4,1
-5.216643909830215,117,0,0.1568,4,1
0.5118202566325551,118,0,0.0722,4,1
-1.3406195002172294,119,0,0.0886,4,1
-0.5057688991966346,120,0,0.1381,4,1
29.797189359140674,121,0,0.1514,4,1
-3.612612519907191,122,0,0.0881,4,1
-0.5726617780072879,123,0,0.098,4,1
0.5876796979930645,124,0,0.0881,4,1
-0.013212128626232047,125,0,0.1321,6,1
0.17886684251957052,126,0,0.1456,6,1
-2.4848236816272897,127,0,0.1142,6,1
-2.217763183665595,128,0,0.1226,6,1
-5.901530687914362,129,0,0.1355,6,1
-0.6073766807843815,130,0,0.0956,3,1
-3.259688397443895,131,0,0.1114,6,1
22.724483326813793,132,0,0.2202,3,1
21.758351766868945,133,0,0.0647,6,1
-7.713611102225787,134,0,0.1672,6,1
0.18980753260455782,135,0,0.0847,6,1
0.07885526158893187,136,0,0.1054,6,1
-15.707034080337998,137,0,0.1321,6,1
0.8620213305091512,138,0,0.1281,1,1
0.2505038018919886,139,0,0.1071,6,1
-2.1221991505188917,140,0,0.1479,4,1
-16.730745767996538,141,0,0.1463,6,1
1.0897370960746993,142,0,0.0836,7,0
-1.1106242219587497,143,0,0.1664,6,1
-2.858133205778741,144,0,0.1564,2,1
1.3945292793784867,145,0,0.1686,6,1
6.0442787861360845,146,0,0.1386,3,1
-28.591870326377578,147,0,0.1657,4,1
-1.3934277259766579,148,0,0.1194,4,1
0.13578233874520756,149,0,0.1505,3,1
-6.242889163242241,150,0,0.1269,3,1
0.5243955065007797,151,0,0.1308,3,1
-0.25601605235957897,152,0,0.1172,3,1
-7.988048608033928,153,0,0.1186,6,1
-2.9939394497441243,154,0,0.1188,3,1
-9.339368959085016,155,0,0.1231,3,1
-1.1535278713511612,156,0,0.1262,2,1
-110.54471260346239,157,0,0.1266,3,1
-1.2509598142511649,158,0,0.1157,6,1
0.7046446479622838,159,0,0.0703,6,1
77.03894652331185,160,0,0.1613,6,1
-5.167385589092644,161,0,0.1677,6,1
-2.4398259707575787,162,0,0.1189,6,1
-75.24025946792871,163,0,0.1441,6,1
0.7175065577620009,164,0,0.1309,6,1
0.05838078560002711,165,0,0.104,6,1
-1.8372838317727247,166,0,0.1649,6,1
-9.014158086231852,167,0,0.0947,6,1
-8.772082434655752,168,0,0.1087,6,1
-7.223659733108733,169,0,0.1436,6,1
1.1818473039986979,170,0,0.1531,6,1
-0.9774720768066381,171,0,0.1003,4,1
-1.195033461446148,172,0,0.1585,3,1
-1.6899646362752012,173,0,0.16,6,1
-28.0404145189278,174,0,0.1614,6,1
-780.2519910781715,175,0,0.1559,3,1
-0.007234072017783846,176,0,0.1004,6,1
-0.5133548331088044,177,0,0.0395,7,0
0.9258192141266535,178,0,0.0424,7,0
1.0206492281447137,179,0,0.0407,7,0
-0.7434534689724646,180,0,0.1289,7,0
0.25874996023402735,181,0,0.111,6,1
1.4115138996551322,182,0,0.0331,7,0
0.9214125167261354,183,0,0.0507,7,0
0.4638820139417458,184,0,0.0426,7,0
0.8534884495329719,185,0,0.0317,7,0
0.9828502460674892,186,0,0.0495,7,0
0.6852320506391177,187,0,0.0372,7,0
0.5865885269739152,188,0,0.0695,7,0
0.9299513766449814,189,0,0.0431,7,0
0.36308461128648045,190,0,0.0554,7,0
0.3763445611957983,191,0,0.0417,7,0
0.5058517630035241,192,0,0.0464,7,0
0.22772139876310232,193,0,0.0492,7,0
0.9728131464664077,194,0,0.074,7,0
0.6844870760703905,195,0,0.0761,7,0
0.9141369823897367,196,0,0.0268,7,0
0.22751761245478513,197,0,0.039,8,0
-1.1395641877380533,198,0,0.0604,7,0
0.7658782310838439,199,0,0.0329,7,0
-0.7564392732808098,200,0,0.0561,7,0
0.3819155072604325,201,0,0.0315,7,0
0.5813070549577416,202,0,0.1373,7,0
0.32138385045683265,203,0,0.0511,7,0
0.8523100381798319,204,0,0.0308,7,0
1.9724261007256214,205,0,0.0362,7,0
0.9272650582522156,206,0,0.0452,7,0
0.8690398258168704,207,0,0.0355,7,0
0.953281488368257,208,0,0.0318,7,0
0.6734841864431368,209,0,0.0323,7,0
1.1260120271043932,210,0,0.0395,7,0
1.1744532145392792,211,0,0.0259,7,0
0.42009488124394373,212,0,0.0416,7,0
0.9771494619180556,213,0,0.0461,7,0
1.382985666653066,214,0,0.0365,7,0
0.9939027381214444,215,0,0.0342,7,0
0.6657934678221623,216,0,0.0402,7,0
-2.059763380977516,217,0,0.1374,6,1
1.2563575979856516,218,0,0.0376,7,0
1.335908555792439,219,0,0.0811,7,0
0.7013917921088487,220,0,0.1002,7,0
0.5135002097963047,221,0,0.0318,7,0
0.4705041066673988,222,0,0.087,7,0
1.2278723104451847,223,0,0.0436,7,0
1.139940956224888,224,0,0.0497,7,0
0.6111448123574865,225,0,0.1146,4,1
1.0526533157687856,226,0,0.0821,7,0
0.9186088775302104,227,0,0.0728,7,0
-0.06100917755786392,228,0,0.0598,7,0
-0.2299958338082207,229,0,0.0426,7,0
1.0724744709508853,230,0,0.0881,7,0
-0.0688976733586212,231,0,0.1323,6,1
0.42473945753615966,232,0,0.1043,7,0
1.2169770546755283,233,0,0.047,7,0
0.8109017223448358,234,0,0.0791,7,0
0.5822889312778451,235,0,0.0358,7,0
0.2253597403000554,236,0,0.0784,7,0
1.0428008335629413,237,0,0.0947,7,0
0.5805405236173984,238,0,0.0316,7,0
1.1793701530529805,239,0,0.0349,7,0
1.0364480465924248,240,0,0.0244,7,0
0.5883427981251466,241,0,0.0261,7,0
1.6590382918513717,242,0,0.0264,7,0
1.4287751173553958,243,0,0.0367,7,0
0.9716954845015341,244,0,0.0497,7,0
-1.7994519073740862,245,0,0.0992,3,1
-0.14822014999913222,246,0,0.0396,7,0
0.5649275881055408,247,0,0.105,6,1
7.602673769328607,248,0,0.0318,8,0
1.0275758041291043,249,0,0.052,7,0
-0.3532742929336749,250,0,0.138,6,1
1.450228210449573,251,0,0.0365,7,0
-0.9691192628631274,252,0,0.1111,7,0
1.0289291266902794,253,0,0.0865,7,0
0.19312305474471975,254,0,0.0531,7,0
0.20957579800971635,255,0,0.112,7,0
0.44951241021868493,256,0,0.0603,3,1
1.199845723746716,257,0,0.0951,7,0
0.09789023596533078,258,0,0.0447,7,0
1.5036022490048253,259,0,0.0264,7,0
-2.023093685001646,260,0,0.0562,9,0
0.7728056360457706,261,0,0.1102,7,0
-0.6170625486462742,262,0,0.0402,7,0
1.039948205560378,263,0,0.0684,7,0
0.7161734732371876,264,0,0.0396,7,0
1.218022049115195,265,0,0.0365,7,0
0.3078650915523712,266,0,0.0413,7,0
0.6177201252666012,267,0,0.107,7,0
-1.5656122876131684,268,0,0.066,9,0
0.9099620794432329,269,0,0.0333,7,0
1.1705629699932674,270,0,0.0671,7,0
0.25450312839447586,271,0,0.0578,7,0
-0.14080322140472784,272,0,0.0573,6,1
1.4066752573150818,273,0,0.087,7,0
-0.13696260765605536,274,0,0.0758,7,0
0.7720173398997114,275,0,0.0917,7,0
1.7486819150018287,276,0,0.0523,7,0
0.6103587328617137,277,0,0.1395,7,0
0.7186502294457916,278,0,0.0344,7,0
1.1389076585474252,279,0,0.0349,7,0
-0.18057447714822042,280,0,0.04,7,0
-0.43251294947270397,281,0,0.0673,7,0
1.1935407892443477,282,0,0.0446,7,0
-0.32825582749964033,283,0,0.043,7,0
1.105981902487301,284,0,0.1205,7,0
1.2890211214730776,285,0,0.0381,7,0
0.9490821430082459,286,0,0.0339,7,0
0.8946706614204676,287,0,0.0602,7,0
1.1935717769232952,288,0,0.0346,7,0
0.6287367080943063,289,0,0.0928,7,0
1.0923411381232118,290,0,0.0355,7,0
1.4065535501395174,291,0,0.0545,7,0
-0.04478349037328385,292,0,0.0417,7,0
1.04156526860991,293,0,0.026,7,0
1.3975916130911639,294,0,0.0397,7,0
0.6155971775993377,295,0,0.049,7,0
0.18807721632873425,296,0,0.037,7,0
-0.6151674760428576,297,0,0.0395,7,0
0.2507244514771239,298,0,0.0442,7,0
0.759004561480817,299,0,0.0378,7,0
1.4456404115455308,300,0,0.03,7,0
0.05756048798581895,301,0,0.0815,7,0
0.42319465306934734,302,0,0.0549,7,0
1.1906342370267096,303,0,0.0556,7,0
0.7208064962153519,304,0,0.0394,7,0
0.3579600335017571,305,0,0.0733,7,0
-40.82372446934823,306,0,0.113,6,1
0.7814993801143374,307,0,0.0493,7,0
0.462599708572185,308,0,0.0369,7,0
1.1748729593367528,309,0,0.0308,7,0
0.7384675642338479,310,0,0.0624,7,0
