Urban,Type,CID,b2,b3,b4,b8,b11,hue,sat,val,BUI,NDBI,VBI
1,3,0,0.1402000,0.1632000,0.1968000,0.3300000,0.3007000,0.0677268,0.2876020,0.1968000,-0.2993040,-0.0464563,-0.1874510
0,9,0,0.0624000,0.0894000,0.0998000,0.3544000,0.2026000,0.1203210,0.3747500,0.0998000,-0.8330770,-0.2725310,-0.5793910
1,1,0,0.2866000,0.3596000,0.4584000,0.4960000,0.5432000,0.0708188,0.3747820,0.4584000,0.0060231,0.0454196,0.1003600
1,1,0,0.4444000,0.4536000,0.4504000,0.4764000,0.3434000,0.2246380,0.0202821,0.4536000,-0.1902880,-0.1622350,0.9144000
1,3,0,0.1632000,0.1916000,0.1914000,0.3740000,0.3793000,0.1678400,0.1482250,0.1916000,-0.3159210,0.0070357,0.1276380
1,1,0,0.2042000,0.2710000,0.2710000,0.3488000,0.2938000,0.1666670,0.2464940,0.2710000,-0.2111140,-0.0855898,0.0473542
1,1,0,0.2308000,0.2822000,0.2968000,0.3452000,0.3273000,0.1297980,0.2223720,0.2968000,-0.1020070,-0.0266171,0.1433590
1,1,0,0.1668000,0.1968000,0.1832000,0.2344000,0.2577000,0.2422220,0.1524390,0.1968000,-0.0752573,0.0473481,0.1270220
1,1,0,0.2350000,0.2544000,0.2290000,0.2532000,0.3341000,0.3727030,0.0998428,0.2544000,0.0875624,0.1377490,0.4363030
1,1,0,0.2540000,0.2654000,0.2714000,0.2662000,0.3371000,0.1091950,0.0641120,0.2714000,0.1271930,0.1175200,0.6178260
1,1,0,0.2540000,0.2648000,0.3024000,0.3220000,0.3584000,0.0371901,0.1600530,0.3024000,0.0221078,0.0534979,0.3078090
1,1,0,0.2144000,0.2228000,0.2308000,0.2206000,0.2931000,0.0853659,0.0710572,0.2308000,0.1637290,0.1411330,0.5292000
1,1,0,0.3038000,0.3304000,0.3248000,0.3188000,0.4058000,0.2017540,0.0805085,0.3304000,0.1293890,0.1200660,0.6081440
1,1,0,0.3464000,0.3944000,0.4052000,0.4384000,0.3636000,0.1360540,0.1451140,0.4052000,-0.1326220,-0.0932668,0.4726150
1,1,0,0.4472000,0.4664000,0.4684000,0.4752000,0.3838000,0.1509430,0.0452605,0.4684000,-0.1136090,-0.1064030,0.8237730
1,1,0,0.1614000,0.1770000,0.1658000,0.2596000,0.3348000,0.2863250,0.0881356,0.1770000,-0.0939842,0.1265140,0.3351660
1,4,0,0.1500000,0.1870000,0.1942000,0.2674000,0.2596000,0.1395170,0.2276000,0.1942000,-0.1733800,-0.0148008,-0.0791852
1,1,0,0.2690000,0.3100000,0.3062000,0.2934000,0.3842000,0.1821140,0.1322580,0.3100000,0.1553500,0.1340020,0.4018960
1,1,0,0.2786000,0.2710000,0.2766000,0.2840000,0.4636000,0.7894740,0.0272793,0.2786000,0.2270350,0.2402350,0.8216340
1,1,0,0.3042000,0.3332000,0.3452000,0.3684000,0.3285000,0.1178860,0.1187720,0.3452000,-0.0897648,-0.0572536,0.4880220
1,1,0,0.2258000,0.2208000,0.2214000,0.3352000,0.2776000,0.6866660,0.0221435,0.2258000,-0.2984500,-0.0939948,0.8213830
1,3,0,0.1870000,0.2172000,0.2636000,0.3628000,0.3253000,0.0657093,0.2905920,0.2636000,-0.2128630,-0.0544979,-0.0487047
1,1,0,0.2924000,0.3228000,0.3204000,0.3424000,0.3259000,0.1798250,0.0941760,0.3228000,-0.0578820,-0.0246895,0.5482910
1,1,0,0.2972000,0.3244000,0.3086000,0.3356000,0.4056000,0.2634800,0.0838471,0.3244000,0.0525290,0.0944414,0.5892330
1,1,0,0.2542000,0.2770000,0.2854000,0.2768000,0.3642000,0.1217950,0.1093200,0.2854000,0.1516460,0.1363490,0.4460880
1,1,0,0.3316000,0.3368000,0.3416000,0.3212000,0.4142000,0.0866667,0.0292740,0.3416000,0.1572400,0.1264620,0.8421350
1,1,0,0.3592000,0.3616000,0.3564000,0.4164000,0.3411000,0.4230770,0.0143805,0.3616000,-0.1770460,-0.0994059,0.9235040
1,1,0,0.4252000,0.4948000,0.5244000,0.5204000,0.3734000,0.1169350,0.1891690,0.5244000,-0.1606380,-0.1644660,0.4697960
1,1,0,0.2788000,0.2634000,0.2492000,0.2360000,0.3506000,0.5867120,0.1061690,0.2788000,0.2225680,0.1953630,0.4484270
1,1,0,0.3100000,0.3276000,0.3272000,0.4140000,0.3522000,0.1704550,0.0537241,0.3276000,-0.1977650,-0.0806578,0.7182240
1,2,0,0.0777000,0.1266000,0.1974000,0.3340000,0.3831000,0.0680869,0.6063830,0.1974000,-0.1885870,0.0684702,-0.5088230
1,2,0,0.0695000,0.0951000,0.1792000,0.2434000,0.4589000,0.0388940,0.6121650,0.1792000,0.1549320,0.3068490,-0.5471120
1,1,0,0.3152000,0.3632000,0.3748000,0.4096000,0.4244000,0.1342280,0.1590180,0.3748000,-0.0266193,0.0177458,0.4042240
1,2,0,0.0809000,0.1074000,0.2088000,0.2730000,0.3239000,0.0345322,0.6125480,0.2088000,-0.0479764,0.0852739,-0.4915670
1,2,0,0.0830000,0.1092000,0.1504000,0.2900000,0.3101000,0.0647874,0.4481380,0.1504000,-0.2834900,0.0334944,-0.4974420
1,2,0,0.0870000,0.1124000,0.1632000,0.2644000,0.3756000,0.0555556,0.4669120,0.1632000,-0.0629198,0.1737500,-0.4819970
1,2,0,0.0830000,0.1030000,0.1538000,0.2466000,0.3045000,0.0470810,0.4603380,0.1538000,-0.1267060,0.1050630,-0.4991350
1,3,0,0.1710000,0.2106000,0.2226000,0.3416000,0.3447000,0.1279070,0.2318060,0.2226000,-0.2064010,0.0045170,-0.0202592
1,3,0,0.1880000,0.2148000,0.2326000,0.2710000,0.3236000,0.1001490,0.1917460,0.2326000,0.0122118,0.0884628,0.0962765
1,2,0,0.1060000,0.1338000,0.2048000,0.3132000,0.3413000,0.0468961,0.4824220,0.2048000,-0.1663330,0.0429335,-0.4039770
0,7,0,0.0558000,0.0798000,0.0863000,0.2358000,0.2546000,0.1311480,0.3534180,0.0863000,-0.4258060,0.0383361,-0.6074760
1,3,0,0.2014000,0.2216000,0.2598000,0.3776000,0.3189000,0.0576484,0.2247880,0.2598000,-0.2690920,-0.0842785,0.0722504
1,3,0,0.1886000,0.1896000,0.2176000,0.2478000,0.2413000,0.0057471,0.1332720,0.2176000,-0.0781801,-0.0132897,0.2403380
1,3,0,0.1804000,0.2204000,0.2374000,0.3172000,0.3459000,0.1169590,0.2401010,0.2374000,-0.1006060,0.0432816,-0.0056567
1,6,0,0.1880000,0.2188000,0.2198000,0.3012000,0.3102000,0.1614260,0.1446770,0.2198000,-0.1415180,0.0147203,0.2061120
1,3,0,0.1288000,0.1384000,0.1470000,0.1582000,0.1989000,0.0879121,0.1238090,0.1470000,0.0772764,0.1139740,0.0856340
1,3,0,0.1810000,0.2070000,0.2268000,0.2674000,0.2776000,0.0946143,0.2019400,0.2268000,-0.0634374,0.0187156,0.0579837
1,3,0,0.1880000,0.2376000,0.2240000,0.3104000,0.3110000,0.2123660,0.2087540,0.2376000,-0.1607110,0.0009656,0.0646253
1,3,0,0.1658000,0.1760000,0.1922000,0.3104000,0.3244000,0.0643939,0.1373570,0.1922000,-0.2131230,0.0220542,0.1664150
1,3,0,0.1838000,0.2084000,0.2088000,0.3136000,0.2714000,0.1640000,0.1197320,0.2088000,-0.2727490,-0.0721368,0.2711100
