Urban,Type,CID,b2,b3,b4,b8,b11,hue,sat,val,VBI,NDBI,BU,IBI,BBI,IBUI,BAEI,MBI,BRBA,NBI,BSI,MultiBI
1,3,0,0.1402000,0.1632000,0.1968000,0.3300000,0.3007000,0.0677268,0.2876020,0.1968000,-0.1874510,-0.0464563,-0.1852720,0.396130839147000,1,-0.015881899652100,1.070920457000000,-0.0600873,0.7554700,0.1553530,0.0043404,0.2434010
0,9,0,0.0624000,0.0894000,0.0998000,0.3544000,0.2026000,0.1203210,0.3747500,0.0998000,-0.5793910,-0.2725310,-0.4991370,1.029109675420000,1,-0.450287521481000,1.369178082190000,-0.1604440,0.7200580,0.0390301,-0.1894930,0.0915674
1,4,0,0.1256000,0.1632000,0.1522000,0.3760000,0.3200000,0.2154260,0.2303920,0.1632000,-0.1707150,-0.0804598,-0.3225390,1.009028022860000,0,-0.223363634757000,0.935844370861000,-0.1092570,0.6349600,0.0970275,-0.0662448,-0.1117170
1,1,0,0.2866000,0.3596000,0.4584000,0.4960000,0.5432000,0.0708188,0.3747820,0.4584000,0.1003600,0.0454196,-0.0018602,-2.530567876930000,1,0.200264519884000,0.840053167922000,0.0019944,0.8605220,0.4923180,0.0786130,0.1248420
1,1,0,0.4444000,0.4536000,0.4504000,0.4764000,0.3434000,0.2246380,0.0202821,0.4536000,0.9144000,-0.1622350,-0.1418600,1.957983263080000,0,-0.421269243312000,0.941530740276000,-0.0569120,1.5949000,0.2669880,-0.0790115,-0.0551409
1,3,0,0.1632000,0.1916000,0.1914000,0.3740000,0.3793000,0.1678400,0.1482250,0.1916000,0.1276380,0.0070357,-0.2258370,0.564343433412000,0,-0.057023278943100,0.860746190226000,-0.0712162,0.6629720,0.1477460,0.0044883,-0.0501783
1,1,0,0.2042000,0.2710000,0.2710000,0.3488000,0.2938000,0.1666670,0.2464940,0.2710000,0.0473542,-0.0855898,-0.1715940,1.343740600420000,0,-0.281511280322000,1.010977337110000,-0.0460176,1.2092800,0.1741140,-0.0464291,-0.0799921
1,1,0,0.2308000,0.2822000,0.2968000,0.3452000,0.3273000,0.1297980,0.2223720,0.2968000,0.1433590,-0.0266171,-0.0979934,0.917156644845000,1,-0.110174907209000,0.979163248564000,-0.0227178,1.0956100,0.2329180,-0.0026368,0.0529359
1,1,0,0.1668000,0.1968000,0.1832000,0.2344000,0.2577000,0.2422220,0.1524390,0.1968000,0.1270220,0.0473481,-0.0786278,0.158896531645000,0,0.015646611917700,1.063146314630000,-0.0114508,0.8376770,0.1709290,0.0111226,0.0344350
1,1,0,0.2350000,0.2544000,0.2290000,0.2532000,0.3341000,0.3727030,0.0998428,0.2544000,0.4363030,0.1377490,0.0309298,2.567745979320000,0,0.210517498625000,0.898895497026000,0.0151889,0.7221700,0.2867930,0.0518352,0.0325244
