first,system:index,CID,RASTERVALU,Type,Urban
1,0,0,0.1601,3,1
1,1,0,0.0769,9,0
0,2,0,0.1499,4,1
1,3,0,0.2338,1,1
0,4,0,0.1629,1,1
0,5,0,0.1706,3,1
0,6,0,0.1111,1,1
1,7,0,0.1545,1,1
0,8,0,0.1066,1,1
0,9,0,0.1695,1,1
0,10,0,0.1816,6,1
1,11,0,0.1267,1,1
1,12,0,0.1398,1,1
1,13,0,0.2097,1,1
0,14,0,0.1764,1,1
1,15,0,0.1605,1,1
1,16,0,0.1644,1,1
0,17,0,0.1268,1,1
1,18,0,0.1405,4,1
0,19,0,0.1425,1,1
2,20,0,0.1879,1,1
1,21,0,0.139,1,1
2,22,0,0.0851,1,1
1,23,0,0.105,3,1
1,24,0,0.1342,6,1
0,25,0,0.0849,1,1
0,26,0,0.1042,1,1
1,27,0,0.1509,1,1
1,28,0,0.1625,1,1
0,29,0,0.1609,1,1
1,30,0,0.1595,1,1
1,31,0,0.1564,1,1
0,32,0,0.1428,1,1
1,33,0,0.0968,2,1
1,34,0,0.0774,2,1
1,35,0,0.1914,1,1
1,36,0,0.1507,2,1
1,37,0,0.0954,2,1
1,38,0,0.1289,2,1
1,39,0,0.0931,2,1
1,40,0,0.1176,3,1
1,41,0,0.1052,3,1
1,42,0,0.1231,3,1
1,43,0,0.1256,3,1
1,44,0,0.102,2,1
1,45,0,0.0756,3,1
1,46,0,0.1473,3,1
1,47,0,0.1039,3,1
1,48,0,0.1316,3,1
1,49,0,0.1247,6,1
1,50,0,0.1503,3,1
1,51,0,0.0757,6,1
1,52,0,0.1292,6,1
1,53,0,0.1375,3,1
0,54,0,0.1254,3,1
1,55,0,0.1244,3,1
1,56,0,0.1093,3,1
0,57,0,0.1381,6,1
1,58,0,0.1588,3,1
1,59,0,0.1355,3,1
0,60,0,0.1333,3,1
1,61,0,0.0943,6,1
1,62,0,0.1579,3,1
1,63,0,0.1179,1,1
1,64,0,0.1417,3,1
1,65,0,0.1009,3,1
1,66,0,0.0929,3,1
1,67,0,0.1279,3,1
1,68,0,0.159,3,1
1,69,0,0.133,3,1
1,70,0,0.131,3,1
1,71,0,0.1616,2,1
0,72,0,0.134,3,1
1,73,0,0.1589,1,1
1,74,0,0.1217,7,0
1,75,0,0.0657,3,1
1,76,0,0.1246,3,1
0,77,0,0.1523,3,1
1,78,0,0.181,2,1
1,79,0,0.144,3,1
1,80,0,0.0976,2,1
1,81,0,0.1088,3,1
1,82,0,0.0779,3,1
1,83,0,0.1515,6,1
1,84,0,0.1444,1,1
0,85,0,0.122,3,1
1,86,0,0.1312,2,1
1,87,0,0.0711,1,1
1,88,0,0.1297,3,1
0,89,0,0.1413,3,1
1,90,0,0.1932,1,1
1,91,0,0.1136,3,1
1,92,0,0.1715,3,1
1,93,0,0.0512,3,1
1,94,0,0.1386,6,1
1,95,0,0.1066,3,1
1,96,0,0.1386,3,1
1,97,0,0.1785,3,1
1,98,0,0.1641,3,1
1,99,0,0.1855,1,1
1,100,0,0.1514,3,1
1,101,0,0.1366,3,1
1,102,0,0.1181,6,1
1,103,0,0.1702,4,1
1,104,0,0.138,4,1
1,105,0,0.1318,4,1
1,106,0,0.1714,4,1
1,107,0,0.1395,4,1
1,108,0,0.1994,6,1
1,109,0,0.1329,4,1
1,110,0,0.1691,4,1
1,111,0,0.1001,4,1
1,112,0,0.1163,4,1
1,113,0,0.1641,4,1
1,114,0,0.1575,4,1
2,115,0,0.142,4,1
1,116,0,0.1385,4,1
2,117,0,0.1568,4,1
1,118,0,0.0722,4,1
1,119,0,0.0886,4,1
1,120,0,0.1381,4,1
1,121,0,0.1514,4,1
1,122,0,0.0881,4,1
1,123,0,0.098,4,1
1,124,0,0.0881,4,1
1,125,0,0.1321,6,1
0,126,0,0.1456,6,1
1,127,0,0.1142,6,1
1,128,0,0.1226,6,1
1,129,0,0.1355,6,1
1,130,0,0.0956,3,1
1,131,0,0.1114,6,1
1,132,0,0.2202,3,1
1,133,0,0.0647,6,1
1,134,0,0.1672,6,1
0,135,0,0.0847,6,1
1,136,0,0.1054,6,1
1,137,0,0.1321,6,1
1,138,0,0.1281,1,1
1,139,0,0.1071,6,1
