first,system:index,CID,RASTERVALU,Type,Urban
-0.19373569981726477,0,0,0.1601,3,1
-0.4684754469517396,1,0,0.0769,9,0
-0.14465134878933666,2,0,0.1499,4,1
-0.005123429903542229,3,0,0.2338,1,1
-0.05722529931610054,4,0,0.1629,1,1
-0.0775724276982471,5,0,0.1706,3,1
-0.13174566629561923,6,0,0.1111,1,1
-0.07715040040666372,7,0,0.1545,1,1
-0.09116100029120562,8,0,0.1066,1,1
0.02820461334966653,9,0,0.1695,1,1
-0.09977417450326799,10,0,0.1816,6,1
0.04667406245337403,11,0,0.1267,1,1
0.014105838514770541,12,0,0.1398,1,1
0.09370780217589635,13,0,0.2097,1,1
0.038104320847809243,14,0,0.1764,1,1
-0.1239432493773468,15,0,0.1605,1,1
0.009619087209244138,16,0,0.1644,1,1
-0.16329382058212139,17,0,0.1268,1,1
-0.10402152687832131,18,0,0.1405,4,1
0.08014496834676117,19,0,0.1425,1,1
0.12347282829881204,20,0,0.1879,1,1
-0.07362372360138254,21,0,0.139,1,1
-0.1055180968936971,22,0,0.0851,1,1
-0.18318344195547734,23,0,0.105,3,1
-0.12141145189016612,24,0,0.1342,6,1
3.913905037163795E-5,25,0,0.0849,1,1
0.03423543005932172,26,0,0.1042,1,1
0.07023593220955308,27,0,0.1509,1,1
0.11466698464381914,28,0,0.1625,1,1
-0.10336234583767281,29,0,0.1609,1,1
-0.08242043987682626,30,0,0.1595,1,1
0.033384925835777776,31,0,0.1564,1,1
-0.08045446997949121,32,0,0.1428,1,1
-0.14477766348817822,33,0,0.0968,2,1
0.02831401327474986,34,0,0.0774,2,1
-0.0037225768287808964,35,0,0.1914,1,1
0.0268399114802631,36,0,0.1507,2,1
-0.23981108146784239,37,0,0.0954,2,1
-0.05794812696515716,38,0,0.1289,2,1
-0.10796955035597994,39,0,0.0931,2,1
-0.0871522407502773,40,0,0.1176,3,1
-0.2606600539068313,41,0,0.1052,3,1
-0.050315991485669995,42,0,0.1231,3,1
-0.15944952109922655,43,0,0.1256,3,1
-0.12460731703151454,44,0,0.102,2,1
-0.22797425176256791,45,0,0.0756,3,1
-0.14730270677599236,46,0,0.1473,3,1
-0.06511051204275112,47,0,0.1039,3,1
-0.07785569449138224,48,0,0.1316,3,1
-0.08767305615377786,49,0,0.1247,6,1
0.033219223330447176,50,0,0.1503,3,1
-0.1802776356055201,51,0,0.0757,6,1
-0.09591765365481988,52,0,0.1292,6,1
-0.038521897693112345,53,0,0.1375,3,1
-0.05252364919681459,54,0,0.1254,3,1
-0.07654971531686464,55,0,0.1244,3,1
-0.17470578880407123,56,0,0.1093,3,1
-0.16461622180175667,57,0,0.1381,6,1
-0.04529856588185327,58,0,0.1588,3,1
-0.03304312686333917,59,0,0.1355,3,1
-0.2869989534681566,60,0,0.1333,3,1
-0.16050847609010196,61,0,0.0943,6,1
-0.2040083998800708,62,0,0.1579,3,1
-0.056148946777085776,63,0,0.1179,1,1
-0.1036848239060524,64,0,0.1417,3,1
-0.006058671992441547,65,0,0.1009,3,1
-0.1861415050018235,66,0,0.0929,3,1
-0.11327202118017593,67,0,0.1279,3,1
-0.1444824533218091,68,0,0.159,3,1
-0.09797480630107816,69,0,0.133,3,1
-0.13174360568863294,70,0,0.131,3,1
0.01755577204096076,71,0,0.1616,2,1
-0.11477843869202145,72,0,0.134,3,1
-0.08096342385861353,73,0,0.1589,1,1
-0.2676199273186489,74,0,0.1217,7,0
-0.12795095609000243,75,0,0.0657,3,1
-0.09973996309458073,76,0,0.1246,3,1
-0.20776563630979802,77,0,0.1523,3,1
-0.015642342589039245,78,0,0.181,2,1
-0.07602937129009306,79,0,0.144,3,1
0.02501450878199901,80,0,0.0976,2,1
-0.13880036652313882,81,0,0.1088,3,1
-0.3228437369073268,82,0,0.0779,3,1
-0.059036740081019584,83,0,0.1515,6,1
-0.13847192818679524,84,0,0.1444,1,1
-0.2887152344027119,85,0,0.122,3,1
-0.034292745904395766,86,0,0.1312,2,1
-0.08328311869453113,87,0,0.0711,1,1
-0.08557671984978965,88,0,0.1297,3,1
0.0019151922933079227,89,0,0.1413,3,1
-0.071244351755775,90,0,0.1932,1,1
-0.26006406019624795,91,0,0.1136,3,1
-0.08923421013692709,92,0,0.1715,3,1
-0.2348018698308035,93,0,0.0512,3,1
-0.17506755036164598,94,0,0.1386,6,1
-0.03439631390075774,95,0,0.1066,3,1
-0.09109766045361747,96,0,0.1386,3,1
0.03669495078138201,97,0,0.1785,3,1
-0.028679727395777954,98,0,0.1641,3,1
0.06640748620495805,99,0,0.1855,1,1
-0.11419012214551252,100,0,0.1514,3,1
-0.0420966297647492,101,0,0.1366,3,1
-0.3448941923206629,102,0,0.1181,6,1
-0.0741296732832068,103,0,0.1702,4,1
0.021993812360766037,104,0,0.138,4,1
-0.1205738767084182,105,0,0.1318,4,1
-0.08861177682560434,106,0,0.1714,4,1
-0.13994214241747602,107,0,0.1395,4,1
-0.029829729223508895,108,0,0.1994,6,1
-0.09367276540460691,109,0,0.1329,4,1
-0.018514982818364327,110,0,0.1691,4,1
-0.14482624187988719,111,0,0.1001,4,1
-0.26446756282875516,112,0,0.1163,4,1
-0.0975120431193111,113,0,0.1641,4,1
-0.05277936760144599,114,0,0.1575,4,1
-0.09334307258092228,115,0,0.142,4,1
-0.08503932546767887,116,0,0.1385,4,1
-0.06009706823264552,117,0,0.1568,4,1
-0.21653257189515643,118,0,0.0722,4,1
-0.14483910024889826,119,0,0.0886,4,1
-0.11588168463416042,120,0,0.1381,4,1
-0.0152655243016689,121,0,0.1514,4,1
-0.0937708343727725,122,0,0.0881,4,1
-0.14916040645851725,123,0,0.098,4,1
-0.31920106494125,124,0,0.0881,4,1
-0.12561413675884253,125,0,0.1321,6,1
-0.25629962736707324,126,0,0.1456,6,1
-0.05578920628636182,127,0,0.1142,6,1
-0.11211386322578196,128,0,0.1226,6,1
-0.07155363150549589,129,0,0.1355,6,1
-0.16716196010281675,130,0,0.0956,3,1
-0.11188947390950726,131,0,0.1114,6,1
0.028523028902224537,132,0,0.2202,3,1
0.0022951750326650824,133,0,0.0647,6,1
-0.03784192562684237,134,0,0.1672,6,1
-0.1481901492427546,135,0,0.0847,6,1
-0.1583403495343794,136,0,0.1054,6,1
-0.017196298406585812,137,0,0.1321,6,1
-0.07579848922091599,138,0,0.1281,1,1
-0.2788637785171649,139,0,0.1071,6,1
-0.14778046440200646,140,0,0.1479,4,1
-0.004905773546939125,141,0,0.1463,6,1
-0.39278636968863534,142,0,0.0836,7,0
-0.18736241569570045,143,0,0.1664,6,1
-0.018683645018634766,144,0,0.1564,2,1
-0.20476859805858605,145,0,0.1686,6,1
-0.006796634838618094,146,0,0.1386,3,1
-0.04016372201336896,147,0,0.1657,4,1
-0.17907044696033955,148,0,0.1194,4,1
-0.10611258640391814,149,0,0.1505,3,1
-0.10768956421675369,150,0,0.1269,3,1
-0.2408083517210791,151,0,0.1308,3,1
-0.1069872942087919,152,0,0.1172,3,1
-0.059822274387744484,153,0,0.1186,6,1
-0.10029032936207234,154,0,0.1188,3,1
-0.05554487116906785,155,0,0.1231,3,1
-0.18673232852316854,156,0,0.1262,2,1
0.014992624763517318,157,0,0.1266,3,1
-0.09488800267105574,158,0,0.1157,6,1
-0.31838665083509576,159,0,0.0703,6,1
0.015077514600008966,160,0,0.1613,6,1
-0.008186283593801826,161,0,0.1677,6,1
-0.10335801608298151,162,0,0.1189,6,1
-0.03217507082889657,163,0,0.1441,6,1
-0.23491378416650857,164,0,0.1309,6,1
-0.1990693928824125,165,0,0.104,6,1
-0.14470577453855443,166,0,0.1649,6,1
0.029708713849925482,167,0,0.0947,6,1
-0.04795985940604149,168,0,0.1087,6,1
-0.03529492720227852,169,0,0.1436,6,1
-0.24087892662483879,170,0,0.1531,6,1
-0.2019884948686007,171,0,0.1003,4,1
-0.12343290909224135,172,0,0.1585,3,1
-0.10151463257142027,173,0,0.16,6,1
-0.044741484250303776,174,0,0.1614,6,1
-0.004182500452498822,175,0,0.1559,3,1
-0.19355801764528133,176,0,0.1004,6,1
-0.2955203391582337,177,0,0.0395,7,0
-0.5471371219619162,178,0,0.0424,7,0
-0.5236711719398841,179,0,0.0407,7,0
-0.08277743609888726,180,0,0.1289,7,0
-0.2015510994599778,181,0,0.111,6,1
-0.6349151861083195,182,0,0.0331,7,0
-0.525590247237447,183,0,0.0507,7,0
-0.36359857286916875,184,0,0.0426,7,0
-0.4527525606010174,185,0,0.0317,7,0
-0.416059224387157,186,0,0.0495,7,0
-0.4682705452593753,187,0,0.0372,7,0
-0.34688284718076423,188,0,0.0695,7,0
-0.4724036427191611,189,0,0.0431,7,0
-0.29847709740222717,190,0,0.0554,7,0
-0.3610146408116209,191,0,0.0417,7,0
-0.38337832155152124,192,0,0.0464,7,0
-0.3565785535606535,193,0,0.0492,7,0
-0.5322840505818565,194,0,0.074,7,0
-0.33173331070631623,195,0,0.0761,7,0
-0.5443716493649016,196,0,0.0268,7,0
-0.44044004174849416,197,0,0.039,8,0
-0.2730036768187259,198,0,0.0604,7,0
-0.4278009578982098,199,0,0.0329,7,0
-0.27143811474082274,200,0,0.0561,7,0
-0.4458998380754106,201,0,0.0315,7,0
-0.4142739094291821,202,0,0.1373,7,0
-0.34712118519763663,203,0,0.0511,7,0
-0.4605752307119103,204,0,0.0308,7,0
-0.6386591289801229,205,0,0.0362,7,0
-0.31758613754947806,206,0,0.0452,7,0
-0.500746645569669,207,0,0.0355,7,0
-0.5127549528129158,208,0,0.0318,7,0
-0.4671606939940689,209,0,0.0323,7,0
-0.45612848919300536,210,0,0.0395,7,0
-0.6053343654106654,211,0,0.0259,7,0
-0.4255740309711532,212,0,0.0416,7,0
-0.4391108463314536,213,0,0.0461,7,0
-0.5073710714016577,214,0,0.0365,7,0
-0.5762831516153302,215,0,0.0342,7,0
-0.37777597489995274,216,0,0.0402,7,0
-0.0897652135945334,217,0,0.1374,6,1
-0.45625131088023196,218,0,0.0376,7,0
-0.4356943814775299,219,0,0.0811,7,0
-0.4432855817956016,220,0,0.1002,7,0
-0.4340371701370759,221,0,0.0318,7,0
-0.3786509973001908,222,0,0.087,7,0
-0.5378892201096828,223,0,0.0436,7,0
-0.27576182887049855,224,0,0.0497,7,0
-0.24682814679218967,225,0,0.1146,4,1
-0.47939777895918245,226,0,0.0821,7,0
-0.3893006265785768,227,0,0.0728,7,0
-0.29848584403798095,228,0,0.0598,7,0
-0.3185858158289897,229,0,0.0426,7,0
-0.4288484295287301,230,0,0.0881,7,0
-0.23949876220003094,231,0,0.1323,6,1
-0.37342109567517895,232,0,0.1043,7,0
-0.46558112934847923,233,0,0.047,7,0
-0.18013381656446426,234,0,0.0791,7,0
-0.3958694166974063,235,0,0.0358,7,0
-0.37023217432015276,236,0,0.0784,7,0
-0.4816268463813837,237,0,0.0947,7,0
-0.4775240346339341,238,0,0.0316,7,0
-0.5074051898203942,239,0,0.0349,7,0
-0.5224574670328876,240,0,0.0244,7,0
-0.47663459048345985,241,0,0.0261,7,0
-0.682592574956477,242,0,0.0264,7,0
-0.5872589687600027,243,0,0.0367,7,0
