first,system:index,CID,RASTERVALU,Type,Urban
-0.07255524768004183,0,0,0.1601,3,1
-0.16397393437077132,1,0,0.0769,9,0
-0.06774021909233177,2,0,0.1499,4,1
-0.0035441367763539575,3,0,0.2338,1,1
-0.027485175927706215,4,0,0.1629,1,1
-0.03738249518304429,5,0,0.1706,3,1
-0.05696584791386275,6,0,0.1111,1,1
-0.03200140955364135,7,0,0.1545,1,1
-0.029493000432962917,8,0,0.1066,1,1
0.009928318907716694,9,0,0.1695,1,1
-0.040153966609096134,10,0,0.1816,6,1
0.017042083723105714,11,0,0.1267,1,1
0.0056195452557936095,12,0,0.1398,1,1
0.028296473655323843,13,0,0.2097,1,1
0.016192890852495218,14,0,0.1764,1,1
-0.06546586011687362,15,0,0.1605,1,1
0.004629416078467285,16,0,0.1644,1,1
-0.06088212481051039,17,0,0.1268,1,1
-0.028744087615283263,18,0,0.1405,4,1
0.032806374705822164,19,0,0.1425,1,1
0.052302441563357616,20,0,0.1879,1,1
-0.03351822559164022,21,0,0.139,1,1
-0.04005285285285285,22,0,0.0851,1,1
-0.08450763234816498,23,0,0.105,3,1
-0.05179826699463329,24,0,0.1342,6,1
1.490963855419866E-5,25,0,0.0849,1,1
0.01533483653846156,26,0,0.1042,1,1
0.02738128579146407,27,0,0.1509,1,1
0.044623160083160085,28,0,0.1625,1,1
-0.047686882383153564,29,0,0.1609,1,1
-0.045463199591106576,30,0,0.1595,1,1
0.01269747937153839,31,0,0.1564,1,1
-0.03889033507650592,32,0,0.1428,1,1
-0.05849432907348243,33,0,0.0968,2,1
0.010328669799978115,34,0,0.0774,2,1
-0.001839386349405118,35,0,0.1914,1,1
0.009000944721051956,36,0,0.1507,2,1
-0.09268784708769212,37,0,0.0954,2,1
-0.021653681486709028,38,0,0.1289,2,1
-0.0354966750139121,39,0,0.0931,2,1
-0.03675925803610746,40,0,0.1176,3,1
-0.11222255242660276,41,0,0.1052,3,1
-0.01916688087587767,42,0,0.1231,3,1
-0.055420768909318865,43,0,0.1256,3,1
-0.05144666285714287,44,0,0.102,2,1
-0.07130603038936373,45,0,0.0756,3,1
-0.06456871948513093,46,0,0.1473,3,1
-0.022243674412284288,47,0,0.1039,3,1
-0.02942437971952537,48,0,0.1316,3,1
-0.03191168567807353,49,0,0.1247,6,1
0.007361105703718117,50,0,0.1503,3,1
-0.07535121338912132,51,0,0.0757,6,1
-0.037058379618449655,52,0,0.1292,6,1
-0.012038046125196959,53,0,0.1375,3,1
-0.019931158375390518,54,0,0.1254,3,1
-0.028057853500808343,55,0,0.1244,3,1
-0.06387262449528935,56,0,0.1093,3,1
-0.07255128402953819,57,0,0.1381,6,1
-0.020508031527486804,58,0,0.1588,3,1
-0.011868906230947433,59,0,0.1355,3,1
-0.09462628785513584,60,0,0.1333,3,1
-0.0625306076798807,61,0,0.0943,6,1
-0.07908962374690795,62,0,0.1579,3,1
-0.02738385938385939,63,0,0.1179,1,1
-0.04832460471284301,64,0,0.1417,3,1
-0.002274005366935006,65,0,0.1009,3,1
-0.052800483091787434,66,0,0.0929,3,1
-0.04667059162062611,67,0,0.1279,3,1
-0.062365578734858707,68,0,0.159,3,1
-0.04105438242546515,69,0,0.133,3,1
-0.05081309086456039,70,0,0.131,3,1
0.007576467071834241,71,0,0.1616,2,1
-0.0507710233887184,72,0,0.134,3,1
-0.036183814422168586,73,0,0.1589,1,1
-0.09917187586206895,74,0,0.1217,7,0
-0.05190708237986271,75,0,0.0657,3,1
-0.03897443188578226,76,0,0.1246,3,1
-0.07153586802605497,77,0,0.1523,3,1
-0.005748755560899353,78,0,0.181,2,1
-0.02895235564145928,79,0,0.144,3,1
0.00611409252669038,80,0,0.0976,2,1
-0.050127879734478735,81,0,0.1088,3,1
-0.09957291169451075,82,0,0.0779,3,1
-0.026562940042609305,83,0,0.1515,6,1
-0.06272380447460502,84,0,0.1444,1,1
-0.11214476837060704,85,0,0.122,3,1
-0.01163702560144091,86,0,0.1312,2,1
-0.031022155613837882,87,0,0.0711,1,1
-0.033245804988662135,88,0,0.1297,3,1
5.009605662285058E-4,89,0,0.1413,3,1
-0.0416156808035714,90,0,0.1932,1,1
-0.09380309455587393,91,0,0.1136,3,1
-0.036061867525298996,92,0,0.1715,3,1
-0.09046886682996,93,0,0.0512,3,1
-0.06787125681705501,94,0,0.1386,6,1
-0.012712007825874292,95,0,0.1066,3,1
-0.03449818911035491,96,0,0.1386,3,1
0.011808637566137562,97,0,0.1785,3,1
-0.011554414715719065,98,0,0.1641,3,1
0.029376279470960304,99,0,0.1855,1,1
-0.04639384349827389,100,0,0.1514,3,1
-0.01716223223113258,101,0,0.1366,3,1
-0.1722649120866969,102,0,0.1181,6,1
-0.022454633204633208,103,0,0.1702,4,1
0.00920159617730782,104,0,0.138,4,1
-0.04732005547515678,105,0,0.1318,4,1
-0.02293364079359555,106,0,0.1714,4,1
-0.04825253226030249,107,0,0.1395,4,1
-0.012224134520276975,108,0,0.1994,6,1
-0.03582337328767126,109,0,0.1329,4,1
-0.005320695998773556,110,0,0.1691,4,1
-0.05311142444910807,111,0,0.1001,4,1
-0.08286944489663033,112,0,0.1163,4,1
-0.04218706047819972,113,0,0.1641,4,1
-0.02121225741690832,114,0,0.1575,4,1
-0.03735433217189314,115,0,0.142,4,1
-0.03466297016119813,116,0,0.1385,4,1
-0.02106808538163001,117,0,0.1568,4,1
-0.07627821229050281,118,0,0.0722,4,1
-0.05629330079316655,119,0,0.0886,4,1
-0.04534418632788869,120,0,0.1381,4,1
-0.004254604752290738,121,0,0.1514,4,1
-0.023505832876211382,122,0,0.0881,4,1
-0.05696489375078588,123,0,0.098,4,1
-0.10945427903351523,124,0,0.0881,4,1
-0.06221627121913579,125,0,0.1321,6,1
-0.09493855470876426,126,0,0.1456,6,1
-0.02334089767391066,127,0,0.1142,6,1
-0.043314204682597154,128,0,0.1226,6,1
-0.024710276214164155,129,0,0.1355,6,1
-0.05835359856333748,130,0,0.0956,3,1
-0.04702922654964344,131,0,0.1114,6,1
0.010888554352728928,132,0,0.2202,3,1
5.721969961578592E-4,133,0,0.0647,6,1
-0.014380016505541146,134,0,0.1672,6,1
-0.060965128024430354,135,0,0.0847,6,1
-0.07177044651461612,136,0,0.1054,6,1
-0.005899358069071764,137,0,0.1321,6,1
-0.03213120035304499,138,0,0.1281,1,1
-0.10794341012590411,139,0,0.1071,6,1
-0.053613648157758174,140,0,0.1479,4,1
-0.0016277116490571212,141,0,0.1463,6,1
-0.14969064119650527,142,0,0.0836,7,0
-0.07321506291635824,143,0,0.1664,6,1
-0.007374779161947888,144,0,0.1564,2,1
-0.08880982652229596,145,0,0.1686,6,1
-0.002448704600484258,146,0,0.1386,3,1
-0.014752046360014471,147,0,0.1657,4,1
-0.04918983669214732,148,0,0.1194,4,1
-0.04550534173855343,149,0,0.1505,3,1
-0.03370313456772122,150,0,0.1269,3,1
-0.09221155330760016,151,0,0.1308,3,1
-0.0376868682795699,152,0,0.1172,3,1
-0.022866488349976226,153,0,0.1186,6,1
-0.030348000610500622,154,0,0.1188,3,1
-0.021162709447415353,155,0,0.1231,3,1
-0.05914039805530233,156,0,0.1262,2,1
0.005400461893764446,157,0,0.1266,3,1
-0.046346685796269715,158,0,0.1157,6,1
-0.11083269347037487,159,0,0.0703,6,1
0.008646798142084808,160,0,0.1613,6,1
-0.003129256063432831,161,0,0.1677,6,1
-0.029082174483437192,162,0,0.1189,6,1
-0.011574068209500627,163,0,0.1441,6,1
-0.09657482396541076,164,0,0.1309,6,1
-0.07728444302991726,165,0,0.104,6,1
-0.060594808126410826,166,0,0.1649,6,1
0.012885916468725271,167,0,0.0947,6,1
-0.01348439897698211,168,0,0.1087,6,1
-0.012267563025210098,169,0,0.1436,6,1
-0.1113827290925267,170,0,0.1531,6,1
-0.07487048665620095,171,0,0.1003,4,1
-0.05168184073990529,172,0,0.1585,3,1
-0.03483062916157088,173,0,0.16,6,1
-0.01625587104773712,174,0,0.1614,6,1
-0.0014507902115727584,175,0,0.1559,3,1
-0.07527094027954258,176,0,0.1004,6,1
-0.08813807841157664,177,0,0.0395,7,0
-0.19841834594222835,178,0,0.0424,7,0
-0.20600447552447554,179,0,0.0407,7,0
-0.028659590792838852,180,0,0.1289,7,0
-0.08334994597190538,181,0,0.111,6,1
-0.2813578955453149,182,0,0.0331,7,0
-0.18800082431736218,183,0,0.0507,7,0
-0.1241421799469827,184,0,0.0426,7,0
-0.16735337078651683,185,0,0.0317,7,0
-0.16115562481878803,186,0,0.0495,7,0
-0.20024062251655628,187,0,0.0372,7,0
-0.14171221826809016,188,0,0.0695,7,0
-0.1910534968608556,189,0,0.0431,7,0
-0.12617648505718854,190,0,0.0554,7,0
-0.14782635699373695,191,0,0.0417,7,0
-0.1365223019386353,192,0,0.0464,7,0
-0.13628486149584487,193,0,0.0492,7,0
-0.20281647058823526,194,0,0.074,7,0
-0.12089600235155791,195,0,0.0761,7,0
-0.19797108370962138,196,0,0.0268,7,0
-0.0998201588877855,197,0,0.039,8,0
-0.10610001261193089,198,0,0.0604,7,0
-0.14754622827156444,199,0,0.0329,7,0
-0.10567758708365117,200,0,0.0561,7,0
-0.12950762052877143,201,0,0.0315,7,0
-0.13877523620089507,202,0,0.1373,7,0
-0.1348597378024057,203,0,0.0511,7,0
-0.1670854982489653,204,0,0.0308,7,0
-0.37348454651162794,205,0,0.0362,7,0
-0.12102563958391901,206,0,0.0452,7,0
-0.19768700152207,207,0,0.0355,7,0
-0.23371442067970083,208,0,0.0318,7,0
-0.14739843323009655,209,0,0.0323,7,0
-0.17875814365947382,210,0,0.0395,7,0
-0.3109549987376925,211,0,0.0259,7,0
-0.1721732335490831,212,0,0.0416,7,0
-0.18739569397427214,213,0,0.0461,7,0
-0.20686161271161274,214,0,0.0365,7,0
-0.2122823488412616,215,0,0.0342,7,0
-0.12861747016706443,216,0,0.0402,7,0
-0.03719972042048761,217,0,0.1374,6,1
-0.1610420556107249,218,0,0.0376,7,0
-0.1739687196341812,219,0,0.0811,7,0
-0.16291956248032738,220,0,0.1002,7,0
-0.12952166448964358,221,0,0.0318,7,0
-0.14613664561403508,222,0,0.087,7,0
-0.23684789071347676,223,0,0.0436,7,0
-0.10249192334989354,224,0,0.0497,7,0
-0.09573333333333332,225,0,0.1146,4,1
-0.21102643553629466,226,0,0.0821,7,0
-0.17473221336603317,227,0,0.0728,7,0
-0.12323318901533896,228,0,0.0598,7,0
-0.0951989199382822,229,0,0.0426,7,0
-0.18616022832868706,230,0,0.0881,7,0
-0.08923490957803083,231,0,0.1323,6,1
-0.12838035344690335,232,0,0.1043,7,0
-0.20857482563495192,233,0,0.047,7,0
-0.08743115736040609,234,0,0.0791,7,0
-0.12951075591075592,235,0,0.0358,7,0
-0.10102707501995212,236,0,0.0784,7,0
-0.2085219056706652,237,0,0.0947,7,0
-0.1397100139358949,238,0,0.0316,7,0
-0.19270358924835024,239,0,0.0349,7,0
-0.20638009731596296,240,0,0.0244,7,0
-0.14059375246353964,241,0,0.0261,7,0
-0.39397141976830163,242,0,0.0264,7,0
-0.25704432392273396,243,0,0.0367,7,0
-0.2399177564301209,244,0,0.0497,7,0
-0.05262506241331484,245,0,0.0992,3,1
-0.09764884524458993,246,0,0.0396,7,0
-0.09765068809748924,247,0,0.105,6,1
-0.008620226415094343,248,0,0.0318,8,0
-0.17831118718334935,249,0,0.052,7,0
-0.0316911658456486,250,0,0.138,6,1
